,serif,serif_gen
0,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
1,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
2,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
3,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
4,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
5,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
6,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
7,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
8,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
9,＃１　大悪魔のように,エロエムエッサイム我は求め訴えたり・・
10,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる!
11,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる!
12,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる!
13,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる♡
14,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる♡
15,エロエムエッサイム我は求め訴えたり・・,我 梢つつじの名において命じる
16,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる♡
17,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる♡
18,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる!
19,エロエムエッサイム我は求め訴えたり・・,我 夢野アキラの名で命じる!
20,我 梢つつじの名において命じる！,いでよ! ハムル様ーー!
21,我 梢つつじの名において命じる！,いでよ! 悪魔っ
22,我 梢つつじの名において命じる！,いでよ! 悪魔っ
23,我 梢つつじの名において命じる！,いでよ! 悪魔っ
24,我 梢つつじの名において命じる！,いでよ! あぶないあぶない
25,我 梢つつじの名において命じる！,いでよ! 悪魔っ
26,我 梢つつじの名において命じる！,いでよ! 悪魔っ
27,我 梢つつじの名において命じる！,いでよ! 悪魔っ
28,我 梢つつじの名において命じる！,いでよ! 悪魔っ
29,我 梢つつじの名において命じる！,いでよ! 悪魔っ
30,いでよ！ 悪魔っ,だから 1年生の間に勉強しときゃよかったんだ
31,いでよ！ 悪魔っ,ぼくを持ち上げろ
32,いでよ！ 悪魔っ,っていうと
33,いでよ！ 悪魔っ,私が魔法で罰を与えるから
34,いでよ！ 悪魔っ,早く帰ってこい
35,いでよ！ 悪魔っ,ふう・・・・
36,いでよ！ 悪魔っ,待ってたでー
37,いでよ！ 悪魔っ,意味ねぇ
38,いでよ！ 悪魔っ,待てよ
39,いでよ！ 悪魔っ,ちっ違うのっ
40,我を呼んだのは貴様か……,どうしたのだ?
41,我を呼んだのは貴様か……,あれ?
42,我を呼んだのは貴様か……,ち 違いますっ
43,我を呼んだのは貴様か……,あれ? あれ?
44,我を呼んだのは貴様か……,く くそっハムル様っ
45,我を呼んだのは貴様か……,あれ?
46,我を呼んだのは貴様か……,呼んでくれて光栄です
47,我を呼んだのは貴様か……,あれ? 何故貴様は我の前に現れなかった!?
48,我を呼んだのは貴様か……,あれ?
49,我を呼んだのは貴様か……,え?
50,あれ？,石焼きイモや!!
51,あれ？,もしかしてノノストラダムス信じてます?
52,あれ？,すりりんごと桃缶とヨーグルトのせいじゃない?
53,あれ？,もしかしてこのままじゃ食べられない・・・・
54,あれ？,き 君 オレ達のボスになってくれないか
55,あれ？,ハムル様がいなくなってる
56,あれ？,すりりんごと桃缶とアイスとヨーグルトのせいじゃない?
57,あれ？,さすが園長先生ですね
58,あれ？,さっきのカラスが仲間を呼んだんだ
59,あれ？,おかしいな
60,禁句,だ だってぼくノなる木になりたいんだもん
61,禁句,だってさぁ
62,禁句,男は度胸
63,禁句,ハムル様は四大悪魔の1人に数えられてるんですよ
64,禁句,だ だってぼく1年生じゃあ・・・
65,禁句,男は細かいとこまで見てますからァ
66,禁句,男性は細かいとこまで見てますからね
67,禁句,男は細かいとこまで見てますからァ
68,禁句,男は細かいとこまで見てますからァ
69,禁句,だって部長には言えないんです!
70,我は悪魔・・,世界を滅ぼす力を持ち・・空も自由に飛べる・・・・・
71,我は悪魔・・,ハムル軍・・・・・
72,我は悪魔・・,ハムル様・・・・
73,我は悪魔・・,世界を滅ぼす力を持ち・・空も自由に飛べる・・・・・・
74,我は悪魔・・,として召喚されて来たのだ
75,我は悪魔・・,世界を滅ぼす力を持ち・・空も自由に飛べる・・・・
76,我は悪魔・・,原クン・・・お前に片想いの彼がいるんだ!!
77,我は悪魔・・,彼女の望むなら世界を滅ぼす事もできるぞ
78,我は悪魔・・,いでよ!カエルっ
79,我は悪魔・・,世界を巡り材料を集め・・・・・・・
80,証拠,担任の木下と仲悪い?
81,証拠,担任が女教師ってのは何となく想像つくが
82,証拠,不倫してるのバレてしまった
83,証拠,パパ~~~~私に白馬の王子様が?
84,証拠,パパ～～証拠を!
85,証拠,担任の教師は生徒にまかせておき
86,証拠,ごめーんメモリーもパーだわ
87,証拠,こ、これでどうだっ
88,証拠,担任と生徒の不倫
89,証拠,パパ!! お馬さんごっこできてるよ
90,ホントに悪魔なの？,だから あんたの望みがかなうならなんでも・・・・・
91,ホントに悪魔なの？,私はシズカ・・・・・
92,ホントに悪魔なの？,わしら昨夜は夜更かししたからな
93,ホントに悪魔なの？,私が見た悪魔はこうでした
94,ホントに悪魔なの？,私は由緒正しき魔界の貴族だぞ
95,ホントに悪魔なの？,だから記憶を消してしまおうとしているんだ
96,ホントに悪魔なの？,私はヘタレなのでよくわからんけど
97,ホントに悪魔なの？,わしは悪魔ではない
98,ホントに悪魔なの？,ふ まるで映画の中へ旅立ってしまったようだ
99,ホントに悪魔なの？,私はシズカ様を守れるのはシズカ様のみだと思ってます
100,む！疑っておるのか？,な!買う気か!
101,む！疑っておるのか？,口うるさいっス
102,む！疑っておるのか？,義父・・・・
103,む！疑っておるのか？,そしらぬ顔で立会外取引に応じる!
104,む！疑っておるのか？,てゆーか・・・・・
105,む！疑っておるのか？,よかろう特別証拠をみせてやろう
106,む！疑っておるのか？,てめえ わしの金魚全部とりやがって
107,む！疑っておるのか？,か 疑っておるのか?
108,む！疑っておるのか？,現国 テスト 範囲が広がってるんですよ
109,む！疑っておるのか？,なんだ 疑っておるのか?
110,よかろう特別証拠をみせてやろう,うわっ
111,よかろう特別証拠をみせてやろう,な、なにが特別だ!
112,よかろう特別証拠をみせてやろう,ほーーい
113,よかろう特別証拠をみせてやろう,で 市中引き回し車
114,よかろう特別証拠をみせてやろう,なっ なにが特別だ
115,よかろう特別証拠をみせてやろう,くいしんぼ
116,よかろう特別証拠をみせてやろう,うむ!
117,よかろう特別証拠をみせてやろう,や 山岡先生!なに?あの鳥は?
118,よかろう特別証拠をみせてやろう,なっ 何言ってる
