,serif,serif_gen
0,＃１　大悪魔のように,」........................................................................................................................ 神戸市出身
1,＃１　大悪魔のように,弾力性ある国に未来はない
2,＃１　大悪魔のように,.................................................................................................................................... 埼玉県出身
3,＃１　大悪魔のように,毎日のように明日のことはわかりませんが、生きてさえいれば今の瞬間を大切にしたいです
4,＃１　大悪魔のように,C130の私たちも参加します  C70の皆さんと会えるのを楽しみにしています
5,＃１　大悪魔のように,』と思いました
6,＃１　大悪魔のように,残暑厳しくなり、食欲抑制と体が冷えるの悪循環は万病の元
7,＃１　大悪魔のように,弾くのも、鳴くのも、弾くのも、すべて気持ちいい
8,＃１　大悪魔のように,今日も、明日も
9,＃１　大悪魔のように,........................................................................................................................... 福岡県出身
10,エロエムエッサイム我は求め訴えたり・・,陵墓の百合耐えて・・・百合苦しんで・・・
11,エロエムエッサイム我は求め訴えたり・・,だが、営々と交わした契約書には上限があって「月額60万円」「年収200万円」など、運営資金に充てるための数値が並んだ
12,エロエムエッサイム我は求め訴えたり・・,熟れた豊乳と豊顔、巨体を今度はどうしようか
13,エロエムエッサイム我は求め訴えたり・・,エロエム説得力のある説明をする・・・「そうだ、エッチな告白をしよう」 「そうだ、エッチな告白をしよう」
14,エロエムエッサイム我は求め訴えたり・・,...................................................................................................... 熟れた都市像は、マンえなかった・・・....................................
15,エロエムエッサイム我は求め訴えたり・・,...................................................................................................... アレキパ生まれ
16,エロエムエッサイム我は求め訴えたり・・,エロエムボンドは求め訴えたり・・
17,エロエムエッサイム我は求め訴えたり・・,鈴与の夏目万里社長は「女の身着のまま特捜部へアスベストを売った男と同じだが、それで工場がどうなるか
18,エロエムエッサイム我は求め訴えたり・・,......
19,エロエムエッサイム我は求め訴えたり・・,ダルフール紛争を取材した時、同じ国で撮影していた氏の視点にとても新鮮さを感じた
20,我 梢つつじの名において命じる！,我 つずつ山ほたる名において命じる! 我 ずつ山ほたる名において命じる! 我思う
21,我 梢つつじの名において命じる！,我 瘍つつじの名において命じる!......................................................................................................... 埼玉県生まれ
22,我 梢つつじの名において命じる！,我 ブックマーキング 我慢強く踏ん張れ! 我 銘なる 我 我 候 我われればこそ 買ってはならない」
23,我 梢つつじの名において命じる！,我 兵をつつじの名において命じる!....................................................................................... 京都府出身
24,我 梢つつじの名において命じる！,我 つずつにして 我 衣笠つつじの名において命じる!...............................................................................................................
25,我 梢つつじの名において命じる！,我 兵をつつじ名において命じる!................................................................................................ 熊本県出身
26,我 梢つつじの名において命じる！,我 憾つつじの名において命じる! 我 憾つつじの名において命じる! 我 我 我 我なり我なり 我
27,我 梢つつじの名において命じる！,我 行使つつじの名において命じる!...................................................................................................... 横浜市生まれ
28,我 梢つつじの名において命じる！,..................................................................................................................... 奈良県出身
29,我 梢つつじの名において命じる！,............................................................................................. 茨城県生まれ
30,いでよ！ 悪魔っ,野太い声が響く
31,いでよ！ 悪魔っ,でよっ
32,いでよ！ 悪魔っ,でよっ
33,いでよ！ 悪魔っ,で、どうやって政権交代という夢をつかむの? いでよっさん、大丈夫ですよ
34,いでよ！ 悪魔っ,でよっ、「どうしてこんなことするの」と言われても、「おまえは人をだましたり、めちゃくちゃにする人だったから」「おれの人生て鬼だった」などと
35,いでよ！ 悪魔っ,でよっしゃーっ、と口をそろえたのは、昨今の経済社会不安の高まりに対する国民のいらだちだ
36,いでよ！ 悪魔っ,で、前回は橋下がおもしろがったから、面白がってみせた
37,いでよ！ 悪魔っ,で、どうです? どっちが正しいです? どっちもか
38,いでよ！ 悪魔っ,てなことは、「おれはこっち」と「あっち」がフクシマの廃炉で白星を挙げたことに触れておこう
39,いでよ！ 悪魔っ,で、どうするのかというと、それはね、こうよ! 町村派にお任せするよ!」 でいいのである
40,我を呼んだのは貴様か……,貴様こそ敵に塩を送るのだ、と声を掛けると、薄っすらと涙をにじませた
41,我を呼んだのは貴様か……,私を貴様大学に入れた貴様らは私の敵だ
42,我を呼んだのは貴様か……,我を呼ぶのは貴様か......
43,我を呼んだのは貴様か……,「 の野望は理解できない」と一笑に付すのは分かるが、 を偏重した愛国主義は読みようによっては旧作とあまり変わらない
44,我を呼んだのは貴様か……,貴様らの理解が及ぶことはない
45,我を呼んだのは貴様か……,貴様が貴様の分も責任を持って生きればいい
46,我を呼んだのは貴様か……,貴様も解党を期すが、貴様の目に届いた本は貴様だ
47,我を呼んだのは貴様か……,我慢したのは貴様か......
48,我を呼んだのは貴様か……,................................................................................................ 茨城県出身
49,我を呼んだのは貴様か……,貴様らの「反貴様」精神に感嘆する貴様こそ、貴様である
50,あれ？,これも京都の風景だったか、と思う
51,あれ？,あれ? あれ、これも? いまさらながらに、そうねえかもしれませんが
52,あれ？,3月19日、宮城県南三陸町を訪ねた
53,あれ？,あれ? あれ? あれ? あれっ、これってどうなったんだろう
54,あれ？,あれ、これで? あれが国民にウケる話だとは思わないが、やっぱり、民主党にはそういうのが必要なんですねえ
55,あれ？,福島原発事故の収束宣言が出ているんだから、それにつなげる話じゃないか」 「いや、それは福島の人たちが望んでいる話じゃないか」 枝野幸男官房長官は25日
56,あれ？,東電は原発の耐震指針見直しを07年6月に策定
57,あれ？,「何が起きているか分からんけど、とりあえず会社行ってみるよ」 首相は30日午前、官邸に出勤後、国会内を約5時間半かけて回った
58,あれ？,あれ? あれもこれも禁止・禁止なんでしょうか? あれ? え、それって、みんなと同じでいいの? いやいや、そんなの関係ねえ
59,あれ？,あれ? あれもこれも入れて、予算が足りないなんて、そんなバカなことがあるのか!」 「今は景気が悪いからと言って、急いで対策を取るとかえって不況が深刻化するおそれがある
60,禁句,禁句を守らなければ、死刑に
61,禁句,禁句だ
62,禁句,禁句だが、そんなことを言われる筋合いはない
63,禁句,今度こそ、この名案で決めてみませんか
64,禁句,禁句にする人が出る
65,禁句,禁句
66,禁句,禁句か、禁欲か
67,禁句,親の離婚後300日規定がある夫婦の子どもを元の夫に取っ払う規定は、法制審議会の検討委員会で議論されている
68,禁句,禁句
69,禁句,死語のように思われている「アからのオムライス」
70,我は悪魔・・,我は.........・・・・・
71,我は悪魔・・,私はここに住んではいないが、お友だちはいるさ」 我は記録されている・・・
72,我は悪魔・・,我は瘍・・・
73,我は悪魔・・,我々は我慢が限界に近づきつつある
74,我は悪魔・・,人間は機械でも人でも・・・ 我は>人間>機械<人間>機械・・・・ 人間は機械でも人でも・・・・・ 人間は機械でも人
75,我は悪魔・・,私はモグラのように走ることができるんだ」 私はモグラのように走ることができるんだ」 ・・・・・...................................................................................................
76,我は悪魔・・,我は君のために、今日もネットに毒素をまいてやったのだ・・・
77,我は悪魔・・,我はp・・デ点集合ですが、皆さんはいかがでしょうか
78,我は悪魔・・,私は貴官の声が聞きたいのです
79,我は悪魔・・,............................................................................................................... 広島県出身
80,証拠,検察側は「村木元局長の関与を全面否定できる証拠はない」と無罪を主張
81,証拠,偽証明書の日付が新たな物証から、元代表と元秘書の会談で消費増税法案への協力を断った1月30日の午後11時〜午前4時に録音された1回目の公判の議事録が
82,証拠,調査報告書について「証拠として弱い」と指摘する点についても「裁判の公正さを確保する上で、証拠の在り方について提言することは十分考えられる」とし、証拠開示の判断に外部の調査委の協力を求めるのが適当との
83,証拠,犯人隠避容疑などで逮捕されたのは、元少年と元高校校長、上内健司容疑者
84,証拠,松木謙公衆院議員が警察に逮捕された日の新聞です
85,証拠,鑑定の量刑判断手法などについて、東京高検、東京地検で違いが出てくる」と指摘
86,証拠,地検関係者によると、改ざんは、村木元局長に報告した4月6日と4月下旬の2回で、2人とも容疑を否認しているという
87,証拠,検察に特信性は見いだせない
88,証拠,製造や公判、鑑定実施のいずれも難しいという
89,証拠,県警幹部によると、下村容疑者は今年4月6日夜、自宅を徒歩で出たまま行方不明になり、7日朝、約7キロ離れた舞鶴市朝来中の朝来川南側の雑木
90,ホントに悪魔なの？,ホントにドミタルなの?............................................................................................. 秋田県出身の自然主義提唱者
91,ホントに悪魔なの？,ホントに為になるの?............................................................................................................... 新潟県田上町生まれ
92,ホントに悪魔なの？,いいの? それが知りたくて」 本の出版は07年6月
93,ホントに悪魔なの？,ホントにニックなの?......
94,ホントに悪魔なの？,ホントにアナこと? ちょっと待てよ、そう考えて調べてみると、今月13日、ウチナーグチがドイツに初上陸していた
95,ホントに悪魔なの？,「本当はこれがネットってやつなんですよ
96,ホントに悪魔なの？,ホントに穏やかでいいのかという気がしないでもないけれども、気まぐれな「ボケ」が、みんなの心のひそみを生んでいるのかもしれない
97,ホントに悪魔なの？,あ、そうだった? いやいや、こんなのは東京に限った話ではない
98,ホントに悪魔なの？,ホントに為した? ホントに為した? そう答えたのは、1日、 で「世界のウズベク廃止」について話していた時だった
99,ホントに悪魔なの？,ホントに日比谷や行きつけの居酒屋で、遅くとも2時間待ちの店があったのだ
100,む！疑っておるのか？,国民は国の総意だと思ったが、違うらしい
101,む！疑っておるのか？,いやいや、違います
102,む！疑っておるのか？,なるほど、なるほど、と 々大笑するやろう
103,む！疑っておるのか？,いや、違うでしょ
104,む！疑っておるのか？,なるほど
105,む！疑っておるのか？,......................................................................................................... 宮崎県出身
106,む！疑っておるのか？,いや、まだ早いですよ
107,む！疑っておるのか？,いや、疑う?......いや、疑わぬ? いや、疑わぬ?......いや、疑わぬ?......いや、疑わぬ?......
108,む！疑っておるのか？,むう? いやいや、そうねえ」 そう話すのを聞いたことがありませんか
109,む！疑っておるのか？,いや、そうでもなく、とつとつと話し合って、それで、うちはなったんですよ」 む!いや、そうでもなく、とつとつ
110,よかろう特別証拠をみせてやろう,ああ、そうか、テヘランのイラン大使館に行け
111,よかろう特別証拠をみせてやろう,そう考えているのであります」 いや、お気の毒にとらわれありませんでしたねえ、と
112,よかろう特別証拠をみせてやろう,そう思って探し回って、見つけたのが今回の領海内での操業中止、領海外へ流出した漁船の捜索だった
113,よかろう特別証拠をみせてやろう,そう考えているんだ」 また、山口は、金丸の原潜が沖縄まで出向いて捜査していたと指摘し、「なぜこんなことを始めたかを、隠ぺいのために行ったという感
114,よかろう特別証拠をみせてやろう,これに対し、元職員は「そんなことをした職員はいない」と繰り返した
115,よかろう特別証拠をみせてやろう,どうだというのか
116,よかろう特別証拠をみせてやろう,そうすれば、この戦争も終わろうというものだ」 先週の英紙フィナンシャル・タイムズにこんな一節があった
117,よかろう特別証拠をみせてやろう,ああ、そうか、おれはやられたってか
118,よかろう特別証拠をみせてやろう,そう思って集めた」と話す
119,よかろう特別証拠をみせてやろう,「そう、この機会をとらえたやつに、気が合うやつがいっぱいいるもんだ」 そういえば、小泉容疑者が所属した自民党の派閥領
120,悪魔免許だ,この免許は運転できる者しか有できない
121,悪魔免許だ,何が何だか分からないが、とりあえず生きておこうとなった
122,悪魔免許だ,自動車関係税と自動車取得税は、車検や登録、運転時に記録を比較できる自動車検証制度を導入
123,悪魔免許だ,何の隠退蔵があるわけでもない
124,悪魔免許だ,だから が取れたらいいね
125,悪魔免許だ,でも、運転する喜びはありました
126,悪魔免許だ,昨年は「免許証なしの自転車」が違反集権を持ち、自転車そのものも重量税の対象外だったが、今年は自動車取得税、重量税の検査対象に加える
127,悪魔免許だ,運転できるんだったら」
128,悪魔免許だ,資格は3カ月の実務経験
129,悪魔免許だ,免許を取った時は、運転は山科と京都の高校を出た後
130,・・・・・・・・,............................................................................................................ 広島県出身
131,・・・・・・・・,・・・・・・...................................................................................................... 大阪府大阪府出身
132,・・・・・・・・,....................................................................................... ・.................................................................................... ・..............................
133,・・・・・・・・,................................................................................................... ・.............................................................................. ・........................
134,・・・・・・・・,.................................................................................................................. 埼玉県生まれ
135,・・・・・・・・,・・・・・・・・・.......................................................................................... ・..................................................................
136,・・・・・・・・,・・・・・・・................................................................................................ ・..................................................................
137,・・・・・・・・,・・・・・・・・.......................................................................................... ・.....................................................................
138,・・・・・・・・,・・・・・・・....................................................................................... ・...........................................................................
139,・・・・・・・・,................................................................................................... ・.......................................................................................... ・............
140,望むままに・・は・・,望むままに・・・は・・・、まあ・・・、いろいろ・・・、まあ・・・、いろいろ・・・、いろいろ・
141,望むままに・・は・・,とまでは言わないが、せめて、そこに至るプロセスを・・教えてほしい
142,望むままに・・は・・,神戸海洋気象台によると、四国沖から九州南部は4月下旬から5月中旬にかけて寒気が入り込み、海水温の上昇が相次ぐ
143,望むままに・・は・・,「今は自由にものが言えて、何でも言える時代ですよ」
144,望むままに・・は・・,・けっこうです
145,望むままに・・は・・,まあ、想像してください
146,望むままに・・は・・,多分ね」 23年前に前職
147,望むままに・・は・・,・ないよ」と、ぶれた声も
148,望むままに・・は・・,・ない」 だから、何が「望むまま」なのかよく分からない
149,望むままに・・は・・,といきたいが、現実は厳しい
150,す　好きな人と両想いにして欲しいの,す 好きな人と両丘陵地にして欲しいの... す 好きな人と両という理由でにして欲しいの......」 人はみな心に銘をもっている
151,す　好きな人と両想いにして欲しいの,す 好きな人と両荼にして欲しいの... す 好きな人と両固有にして欲しいの......
152,す　好きな人と両想いにして欲しいの,す 好きな人と両艦長にして欲しいの......」 す 好きな人と両思いたいの......」 す 好きな人と両思いたいの......」 す
153,す　好きな人と両想いにして欲しいの,す 好きな人と両歩兵にして欲しいの... す 好きな人と両艦長にして欲しいの......」 う あ あ あ」 どっちに
154,す　好きな人と両想いにして欲しいの,す 好きな人と両脇に出して上げてね
155,す　好きな人と両想いにして欲しいの,す 好きな人と両という理由でにして上げて上げて良かったって言ってほしいの......」 す 好きな人と両網羅にして上げて良かったって言ってほしいの......」 す 好きな
156,す　好きな人と両想いにして欲しいの,す 好きな人と両両がにして欲しいの... す 好きな人と両という理由でにして上げて宜しいのですか...
157,す　好きな人と両想いにして欲しいの,す 好きな人と両ノワにして欲しいの... す 好きな人と両脇に考えて宜しいでしょうか
158,す　好きな人と両想いにして欲しいの,......」 す 好きな人と両脇に立って「やろうじゃありませんか」と声をかけたいですね
159,す　好きな人と両想いにして欲しいの,す 好きな人と両傅にして欲しいの... 「私たちは好きな人のそばにずっといるから
160,それが貴様の望みか・・・・,こんな事までして勝たねばならないか・・・・と・・・・」 結構だが、そういう人に限って、みっともない事にしやがって
161,それが貴様の望みか・・・・,貴様が望みなら貴様の手で日本を自由に変えるか、日本を怒らせるか、そのどれかだ
162,それが貴様の望みか・・・・,えっ、貴様、そんなウソを言っていたのか
163,それが貴様の望みか・・・・,こんなやつに任せておけ、お主らに何が足りないのか・・・・
164,それが貴様の望みか・・・・,「これで御座いませ、お主らは平和ぼけを始めたようだが」
165,それが貴様の望みか・・・・,貴様は人より長生きした経験上、その方が幸福であると・・・) 何を今、急に言うのかと思ったが、要約すれば
166,それが貴様の望みか・・・・,ふざけるな
167,それが貴様の望みか・・・・,言わずもがな、ウソコサてんかよ、と思うかもしれないが、まあ、それも「仕方ない」
168,それが貴様の望みか・・・・,貴様が望まなければ我々は決して国交正常化を実現させてはたき上げさせませんから」 むかし貴殿の口が上がらない貴君は
169,それが貴様の望みか・・・・,何の因果か、わが身はこうして無傷で済んだのか
170,ふざけるなーっ,と国土交通省の幹部は怒る
171,ふざけるなーっ,ま、それは置いといて
172,ふざけるなーっ,笑止千万だ」と怒っている
173,ふざけるなーっ,「何時間も遅れて来ない人の分までさんざん観光して、全部回らないと気が済まないんだったら、日本に帰国するよ」 温首相は会談でこう脅
174,ふざけるなーっ,おれが言う前に、いつの間にか〜って」 人見知りで人なつっこい笑顔が魅力の橋下氏は「第2の維新」を掲げて次期衆院選
175,ふざけるなーっ,「沖縄の頭越しに『県外』と言うのは、いかにも政治主導だ」 徳之島は米軍により沈静化が図られた沖縄の地元、西表島の北西約
176,ふざけるなーっ,「そんなこと言ったって、どこがどうなるのか」と突っ張り、「いいかげんにしてくれ」と小声で言い返して切った
177,ふざけるなーっ,誰がやっても批判される
178,ふざけるなーっ,こっちだって偽装結婚しているじゃないの」 美代子容疑者の夫は昨秋、大阪の病院で検査中に胆管がんが見つかった
179,ふざけるなーっ,と声を荒らげる場面もあったが、「こういうのは個人の権利だから、とっととやろう」と、冷静な対応を呼びかけた
180,貴様の魂と引き換えに何でも望みを叶えよう,そう思いました」 私は貴様のソウルソウルに対するあこがれとともに、その後ろ姿にシノップ、貴様を思うであります」 北京
181,貴様の魂と引き換えに何でも望みを叶えよう,そうだね」 私は貴様の魂と引き換えに何でも望みを烙えよう...そうだね」 私は貴様の魂と引き換えに何でも望みを
182,貴様の魂と引き換えに何でも望みを叶えよう,それが私の最大の目標である」 その美化された響きには、一体、日本の社会がどこまで汚染されているのかを物語っている
183,貴様の魂と引き換えに何でも望みを叶えよう,そう思っている
184,貴様の魂と引き換えに何でも望みを叶えよう,そう思うなら、私の手は打たせよう
185,貴様の魂と引き換えに何でも望みを叶えよう,そう考えれば、そんな思いが頭をよぎる」 「皆さん、そう考えてください
186,貴様の魂と引き換えに何でも望みを叶えよう,) 貴様の魂と引き換えに何でも望みを代表に選出されたえよう...) 貴様の魂と引き換えに何でも望みをツクえよう...) 貴
187,貴様の魂と引き換えに何でも望みを叶えよう,そう言ってくれた貴様に感謝したい」 しかし、逆に「貴様の事だから」といったように、自分の思いを相手に伝えた経験がない日本人は多くいる
188,貴様の魂と引き換えに何でも望みを叶えよう,そう思え」 今回の震災では、多くの人命が奪われた
189,貴様の魂と引き換えに何でも望みを叶えよう,そうすれば、我々は無償で貴様の手に落ちたのだ」と訴えた
190,うわっ,と思いました
191,うわっ,これはヤバイ」「うわっ、これはヤバイ」
192,うわっ,ついに来たか」
193,うわっ,これはかなりヤバイな」と漏らす
194,うわっ,知らなかった
195,うわっ,うわっ
196,うわっ,めまいがする」
197,うわっ,知らなかった
198,うわっ,これはヤバイね」
199,うわっ,すごい」と感心する一方、「これじゃあ、みんなお財布から金が出るが増えねえか」と悲しそうだ
200,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,....................................................................................... 愛知県出身
201,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,んな事 自分でなんとかするべきだ努力はしたのか?そもそもホンとはなあ・・・・・・・・
202,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,なのになんで、そんな事 自分でなんとかするべきだ努力はしたのか?そもそもウェールズとはなあ・・・
203,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,何が何でもこうしなければならない、という詰め込み教育が日本で長年続いてきたが、そういう事 自分でなんとかするべきだ努力
204,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,では、この後が今回論点になった「金持ち優遇策」とは何だったのか? ではでは、金持ち
205,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,......」 どうしたらよかったのでしょうか
206,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,こと 自分でなんとかするべきだ努力はしたのか?そもそもエドとはなあ・・・・・・・・・
207,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,一体、この事 自分でなんとかするものだ努力はしたのか?そもそもポツダムとはなあ・・・・・・・
208,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,なんであんな事 自分でなんとかするべきだ努力はしたのか?そもそもドミとはなあ・・・・・・・
